"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"agency_index__aid"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"institution_data__INSTITUTION_NAME"
"FV 391a"	"Carrots: Development of artificial inoculation techniques for cavity spot caused by Pythium violae"	"http://horticulture.ahdb.org.uk//project/carrots-development-artificial-inoculation-techniques-cavity-spot-caused-pythium-violae"	"2016"	"2017"	"Summary: Cavity spot caused principally by P. violae is the major disease of carrots in the UK. Management of the disease relies on the fungicide metalaxyl-M although its efficacy is variable. The reliance on this single fungicide is of major concern to the industry as its future efficacy and sustainability is uncertain. To address this, previous AHDB Horticulture projects have evaluated potential new control measures including fungicides, biological control treatments, calcium applications and biofumigation. However, progress has been severely hampered by a lack of sufficient disease levels in many of these trials and hence new treatments have not been clearly identified. This project will test different growth media and conditions for P. violae inoculum production and define appropriate rates required for symptom development in pot and field grown carrots. The feasibility of large scale production of inoculum using solid state fermentation will also be evaluated. Aims and Objective:  (i) Project aim:  To develop artificial inoculation systems to induce cavity spot symptoms in pot and field grown carrots using P. violae.  (ii) Project objectives:  1. Develop growth media and determine conditions to optimise inoculum production of P. violae mycelium / oospores by different isolates in controlled environment  2. Test the efficacy of different rates of P. violae inoculum in producing cavity spot symptoms in pot grown carrots in the glasshouse 3. Test the efficacy of different rates P. violae inoculum in producing cavity spot symptoms in field grown carrots 4. Examine the feasibility of large scale P. violae inoculum production in solid state fermentation"	"146"	"Clarkson, John"	"-1"	"-1"	"Warwick University"
"HNS 198"	"Improving weed control in hardy nursery stock "	"http://horticulture.ahdb.org.uk//project/improving-weed-control-hardy-nursery-stock"	"2016"	"2020"	"Summary: With the loss of key herbicides available to the HNS sector, weed control has become critical. Recent projects CP86 , HNS/PO192 and 192a have identified promising new products in screening trials although some have limitations.  A programme of work is planned to build on these findings and fill gaps in control. Starting with a review of weed control practice in relevant countries, identified herbicide candidates will be assessed for activity against key weeds in container HNS with pot trials to determine control at pre-emergence and early post- emergence.  Phytotoxicity to indicative HNS species, in growth and dormant, will be screened at ADAS Boxworth.  Promising materials will be taken forward for on-nursery trials. The field-grown HNS sector is now over-dependent on few herbicides.  New products have already been identified with potential for use in field-grown herbaceous, roses and trees. Field-trials will be carried out utilising novel products with existing herbicides to develop improved programmes. Differential band-spraying developed for vegetables in SCEPTRE has potential for use in tree seed beds and will be investigated in nursery-based experiments. The HDC ornamentals weed research programme has been successful.  This proposal will continue this work, ensuring growers have the weed control techniques for the future.  Aims and Objective: Aims: To improve weed control in hardy nursery stock by means of chemical, biopesticide and cultural approaches. Objectives: 1.   To review chemical and cultural weed control techniques used in other countries on hardy nursery stock focusing on chemicals and techniques that have potential to be employed under UK conditions and regulations. 2.   To measure novel herbicides efficacy for key nursery stock weed control in pot screening experiments. 3.   To assess novel herbicides for phytotoxicity in initial screens on indicative nursery stock species, then evaluate and demonstrate on commercial nurseries the most promising novel products in phytotoxicity screening on a wider range of container grown nursery stock. 4.   To quantify the effectiveness and safety of selected novel herbicides when used in two season programmes for budded rose and tree production systems. 5.   To evaluate a range of novel herbicides for use post-planting for selected field grown herbaceous crops. 6.   To critically evaluate novel technologies for improving weed control on nurseries. 7.   To provide support for AHDB’s EAMU programme for herbicides in ornamental plant production. 8.   To deliver appropriate knowledge transfer outputs that will include updates via social media, briefing notes, growers’ walks and workshops, study tour and content for updating the Practical Weed Control for Nursery Stock guide."	"146"	"Atwood, John"	"-1"	"-1"	"ADAS Boxworth"
"HNS/PO 194"	"GROWBOT: A Grower-Reprogrammable Robot for Ornamental Plant Production Tasks (PhD Studentship)"	"http://horticulture.ahdb.org.uk//project/growbot-grower-reprogrammable-robot-ornamental-plant-production-tasks-phd-studentship"	"2016"	"2018"	"Summary: This project will explore the use of new, human-robot interactive, soft robotic systems and their application for semi-automated propagation of multiple varieties of ornamental plants.  It will investigate ways in which non-expert users (i.e., those without technical expertise in robot pro- gramming and control), but that are nevertheless skilled in plant processing, can use robots in their work, to relieve them of the more repetitive, labour-intensive tasks encountered. Focus will be given to improving efficiency and competitiveness in small/medium scale busi- nesses, typically processing relatively small batches of a wide variety of plants, as opposed to the traditional large facilities specialised in processing large volumes of single-varieties. For this reason, the project will investigate ways of automating tasks that are usually difficult to achieve at small scale, such as taking and inserting cuttings, grading and collating plant specimens.  To achieve  this,  the project  will draw  on advances  in adaptive  robotics,  soft robot  design, and human-robot  interaction.   New technologies  such as robot programming  by demonstra- tion (whereby robots can be ‘trained’ through demonstrations of a task) will be investigated to enable horticultural workers to program soft robotic manipulators to perform repetitions of hor- ticultural tasks, while minimising risk to plant products or personnel through in-built compliance in the mechanical design. Complex motions of the hand will be recorded through a soft sensor interface (e.g., a data glove) to enable a soft, light-weight and low-cost robotic manipulator to reproduce the movement. The speed and ease with which such automation can be adapted to multiple plant varieties will be assessed with a view to maintaining quick turn-around when processing small batches of plants."	"146"	"Howard, Matthew"	"-1"	"-1"	"King's College London"
"FV 442"	"Leafy Salads - A programme educating KS2 children about salad leaves and their role in a healthy diet"	"http://horticulture.ahdb.org.uk//project/leafy-salads-programme-educating-ks2-children-about-salad-leaves-and-their-role-healthy-diet"	"2016"	"2017"	"Summary: Not many people eat 5 a day.  Th aim is to raise the profile of leafy salads to KS2 children, their parents and teachers through homework resources, assembly packs and video and online information  - with the hope that these will lead to increased consumption of salad leaves for healthier diets. Aims and Objective:  1) To inform and educate consumers (adults and children), consumer and foodservice media about the origins of leafy salads, where and how they are produced and how products reach them.  2) To attract lapsed and new shoppers to leafy salads, across all age groups, and especially amongst younger shoppers below 45 years old. 3) To differentiate salad leaves from other salad ingredients and make them a considered purchase instead of being an un-thinking, disengaged purchase. 4) To create consumer and foodservice interest in the leafy salads category. 5) To create collateral for the campaign (including images and video of serving suggestions, grower stories and farming methods) and to reuse existing campaign material to create web, print and social content that communicates key messages. 6) Education objectives - Material development – Working with growers and KS2 stage teachers, to develop Healthy Eating homework material and Healthy Eating Assembly Pack for a launch project to 25 schools. 7) Healthy Eating homework - To contact the UK’s 22,000 schools teaching KS2 pupils in England and Wales in each of the 2 campaign years and offer them free educational homework material on leafy salads and healthy eating. 8) Healthy Eating Assembly pack - To offer healthy eating and salad food chain teaching support material to PSHE (Personal, Social, Health and Economic Education) contacts at 22,000 schools teaching KS2 pupils in England and Wales. 9) Communication – To share the following with growers: a) Educational materials developed for the program b) The results of the launch project c) Quarterly updates (unless otherwise advised) on the progress of the Homework and Assembly pack program d) Final report on the program 10) Measurement – To use market sales data (Kantar Worldpanel or Nielsen) to show leafy salads sales progress (to be supplied by the BLSA contributors).  "	"146"	"Hall-Jones, Julia"	"-1"	"-1"	"British Leafy Salads Association Ltd"
"CP 127"	"Compendium of Pest Forecasting Models"	"http://horticulture.ahdb.org.uk//project/compendium-pest-forecasting-models"	"2015"	"2015"	"Over the last 20 years, funding from Defra and AHDB Horticulture in particular has enabled the development of a variety of models for forecasting pest outbreaks, some of which have been used very successfully to target control measures.  Such models can also be used to predict the future impact of climate change on pest insects. Unfortunately, changes in funding strategies mean that these bespoke models are no longer supported in terms of software upgrades and some will become inaccessible in the longer term as operating systems change.    The aim of project CP 127 was to focus on pest insects and to develop a compendium of pest models in a format that could be used directly with inputs of current weather data, or could be transferred by commercial companies to more complex systems.  The reason for building ‘simple’ models is to make them readily accessible, more resilient to upgrades in operating systems and to ensure they can be modified over time without the need for specialist programming expertise.  Many of these are day-degree models, but others are complex (such as the Monte Carlo models for carrot fly and cabbage root fly).    The objectives of project CP 127 were to: Create the pest compendium structure using representative models. Incorporate Monte-Carlo models (cabbage root fly, carrot fly, pollen beetle, large narcissus fly) and day-degree models (lettuce-root aphid, willow-carrot aphid, currant-lettuce aphid) into the spreadsheet-based tool. Validate models using corresponding MORPH outputs i.e. using the same set of weather data to run the models in MORPH and the pest compendium.   The output from the MORPH models is available in the AHDB Horticulture Pest Bulletin on the Syngenta web site. This is updated weekly during the growing season and growers can be reminded of the bulletin through the link provided in the AHDB Horticulture weekly email, which is sent out each Friday.   The next group of models to be reformatted has now been identified and will form project CP 127a, which is in development.   Please note: AHDB Horticulture understands that pest and disease decision support tools are a guide to decision making and users should not rely just on these tools to make management decisions."	"146"	"Collier, Rosemary"	"-1"	"-1"	"Warwick Crop Centre"
"FV 448"	"Carrot: An early warning system for risk of cavity spot in crops"	"http://horticulture.ahdb.org.uk//project/carrot-early-warning-system-risk-cavity-spot-crops"	"2015"	"2016"	"Summary: Cavity spot is a major carrot disease in the UK and is mainly caused by Pythium violae. Cavity spot reduces harvest quality. Visibly infected carrots are not acceptable for fresh produce market or processing. An early indication for cavity spot would be of great value, because it can be used as a decision support system. The test has to assess risk on cavity spot at two cost adding moments: before distribution of straw and before fields are covered. Selecting low risk fields will reduce losses and leads to less costs for labour and straw. Within this project, NSure aims to develop an early warning test to detect cavity spot at an early stage. RNA sequencing (RNA-Seq) will be used to identify carrot specific indicator genes that change upon an early infection with Pythium violae. The results of this project can be used in other projects regarding Pythium violae and cavity spot. Aims and Objective: (i)     Project aim(s): The aim of this project is to identify cavity spot specific indicator genes from carrot. These genes will be used to develop a practical test that quantifies the expression of those genes in order to determine the risk of cavity spot at an early stage. (ii)    Project objective(s): 1.   Collection of carrot samples (approx. 200) from different fields in two different areas (Yorkshire and Nottinghamshire) from the largest commercial variety, Nairobi. The 2nd season, a second variety will be added. Uniform quality evaluation of sampled fields. 2.   Selection of a longlist of carrot genes that may determine the risk of the development of cavity spot in variety Nairobi. 3.   Validation of carrot indicator genes in Nairobi and a second, commercial variety. 4.   Selection of a final set of carrot indicator genes that will be used for the test to determine the risk of the development of cavity spot. 5.   Development of a user friendly test format including decision criteria that will be beneficial to the growers. 6.   Continuous and active two-way communication between growers and researchers.    "	"146"	"Verhoef, Nathalie"	"-1"	"-1"	"NSure B.V."
"SF 154a"	"Blackcurrants: refining herbicide screen for use in recently planted cuttings"	"http://horticulture.ahdb.org.uk//project/blackcurrants-refining-herbicide-screen-use-recently-planted-cuttings"	"2015"	"2016"	"Summary: Project SF154 identified some potentially useful herbicides for application to freshly planted cuttings.  Some of these single treatments caused damage at high rates and some allowed certain weed species to establish as a result of an incomplete spectrum of activity.  This project is designed to investigate the potential to broaden the range of weed species controlled while reducing the risk of phytotoxicity to the cuttings. Aims and Objective:  (i) Project aim(s): To enable growers to select herbicides that are not damaging to newly planted blackcurrants.  (ii) Project objective(s):  o To investigate the efficacy & phytotoxicity of various herbicides alone and in combination, applied to cuttings within 48 hours of planting. o To investigate the potential for reduced rate mixtures to improve weed control and reduce the risk associated with each herbicide. o To investigate the ‘sub lethal; effects – i.e. growth suppression"	"146"	"Saunders, Rob"	"-1"	"7271"	"H.L.Hutchinson Ltd"
"CP 159"	"The resilience of potato and horticulture businesses to changes in abstraction licencing"	"http://horticulture.ahdb.org.uk//project/resilience-potato-and-horticulture-businesses-changes-abstraction-licencing"	"2015"	"2016"	"Summary:  The AHDB is committed to ensuring that the agricultural and horticultural sectors plan and appropriately adapt to the way water resources are managed. To facilitate this, the AHDB is undertaking a project to evaluate the resilience of potato and horticulture businesses to changes in abstraction licensing in England, Scotland and Wales.  Horticultural produce and potatoes are high value crops and have significant water demands. They are reliant on access to water to ensure quality, quantity and timely supply of produce, either through supplementation by abstracted water for rain fed-crops or via complete irrigation of protected crops.  Defra and the Scottish and Welsh governments are revising the licensing system for abstracted water to comply with increasing pressures on water resources and EU environmental obligations. The volume of water available for abstraction is determined in England by the EA Catchment Abstraction Management Strategies (CAMS); in Wales by Natural Resources Wales and in Scotland by SEPA through Water Resource Management Plans. The UK government reforms are applying three measures: Resolution of unsustainable abstractions through voluntary and compulsory licence changes.  Removal of current abstraction exceptions to regulate all abstractions.  Introduction of a reformed abstraction licensing system to meet future water resource demand challenges. Aim and Objective:  To analyse and interpret the resilience of the potato and horticulture sectors to the proposed changes in water abstraction in Britain.  Objectives:  The potential impact of abstraction reform on current licences has led to a degree of uncertainty within the agricultural sector, particularly the potato and horticultural sectors which are highly dependent on abstracted water. This study will assess the complexities of the opportunities and challenges that the proposed reforms will bring. The key objectives identified are:  1. To undertake a survey of the sector levy members, ensuring that there is sufficient numerical representation to provide a detailed understanding of the current water regimes and water availability across Britain and management for the following sectors:  a. Potatoes  b. Field horticulture  c. Protected horticulture  d. Containerised plants grown outdoors.  The survey will be conducted within the first seven months of the project.  2. Identification of knowledge and infrastructure gaps. Survey questions will be tailored to gather data on sector preparations to reduce reliance on abstracted water. The answers collated will provide information on the knowledge and infrastructure gaps within the sectors and recommendations on areas to address will be provided to AHDB.  3. Survey results and conclusions will be drawn in month eight and compared with other similar recent research.  4. Develop stakeholder documents. Stakeholder documents will be produced offering clear guidance on the current abstraction licence system (relevant to each country e.g. Scotland,Wales). These will also detail proposed changes and the actions growers will have to take to ensure compliance. The documents will also provide applicable mitigation measures including water efficiency, advice based on maintenance, technological advancement and infrastructure investment. The stakeholder documents will be produced in accordance with an agreed timeframe at the inception meeting with the majority produced by month eleven, but it is suggested that one of the articles is published in month eight to correspond with the survey results. Documentation will be tailored to meet the different audiences as determined by AHDB, including growers, policy makers, and the water industry. It will be delivered ahead of project completion in month eleven."	"146"	"Ody, Kate"	"-1"	"-1"	"Ricardo Energy & Environment"
"HNS 196a"	"Identification of factors which influence infection and control of the newly emerged Peronospora causing downy mildew on aquilegia "	"http://horticulture.ahdb.org.uk//project/identification-factors-which-influence-infection-and-control-newly-emerged-peronospora"	"2015"	"2016"	"Summary: Aquilegia downy mildew is caused by a species of Peronospora which is currently unnamed. The first occurrence of the disease appears to be on a nursery in 2011, with more widespread reports in gardens during 2013. Little or no work has been published on the disease and as a result it is difficult to establish from the literature why the disease has become more prevalent. Studies will establish the conditions required for infection and sporulation, the type of spores involved and the conditions required for their survival. Strategies for disease control (cultural and chemical) will be developed. The results from the project will be disseminated through the production of best practice guidelines. Aims and Objectives:  Project aim(s): The project aims to generate data which will enable growers to combat the threat from the newly emerging downy mildew on aquilegia (ADM). The outputs from the project will generate best practice guidelines for aquilegia crops grown under protection or outdoors.   (ii) Project objective(s): 1. Determine the conditions required for infection and sporulation of the Peronospora sp. responsible for ADM. 2. Determine the survival of conidia under differing environmental conditions 3. Establish best practice methods (cultural and chemical) to prevent and control infections of ADM. 4. Dissemination of outputs from project through best practice guidelines and presentation at grower meetings Benefits to Industry:  The number of growers who have been adversely affected by ADM is unclear. However, the high level of press coverage warning of the dangers from the disease has led to concern amongst growers that a loss of sales could be similar to that seen for downy mildew on impatiens. Determining an understanding of the pathogen responsible for aquilegia downy mildew will ensure effective management strategies can be developed which would minimise future losses from the disease. Establishing an effective and economic strategy for the control of the downy mildew pathogen would reduce the risk of financial loss through loss of plants. This is particularly important while the pathogen is at an early stage of establishment in the UK.   The results will be delivered to growers through presentations at grower meetings, a final report and articles in HDC News as required.  "	"146"	"Jennings, Philip"	"-1"	"-1"	"Fera"
"CP 119"	"Sensor-based pre-symptomatic detection of pests and pathogens for precision scheduling of crop protection products"	"http://horticulture.ahdb.org.uk//project/sensor-based-pre-symptomatic-detection-pests-and-pathogens-precision-scheduling-crop"	"2015"	"2018"	"The Problem Global crop losses due to pests and pathogens are estimated at approx. $2000 billion per year requiring the application of around 3 million tonnes of pesticides globally per year. This studentship will adopt a multidisciplinary approach using advanced biospectroscopy sensor-based technologies previously used extensively in biomedical research applications, Attenuated Total Reflectance (ATR) and Raman spectroscopy, for the pre-symptomatic diagnosis of pest/pathogen attack in crops allowing early crop interventions thereby reducing crop losses, reducing the use of crop protection products, and reducing the incidence of chemical residues in food. Laboratory-based studies of crops grown under controlled environment conditions will identify ‘biomarkers’ that are indicative of early pre-symptomatic pest/disease attack. These studies will be used to benchmark field-based measurements made during field campaigns at UK farms using affordable portable spectroscopy equipment. The ability of these technologies to predict the impact of reduced application of crop protection products on pre- and post-harvest quality of crops, and on storage and shelf-life, will also be investigated. Field-based measurements will be used to assess the potential for biospectroscopy, and the novel biomarkers identified using this approach, for informing future strategies for protecting and increasing agricultural productivity through the targeted precision scheduling of crop protection products.   Aims and objectives:   Key milestones: 1. Exposure of the student to the full range of commercial activities underpinning the business of one of the UK’s leading producers of premium vegetable products (1-month placement with Barfoots during year 1), 2. Construction of a database of asymptomatic alterations or biomarkers associated with individual crop-pest/pathogen combinations based upon laboratory-based studies undertaken in the Lancaster Environment Centre, 3. Validation of laboratory-derived biomarkers as a diagnostic tool for pre-symptomatic pest/pathogen in the field through field campaigns at Barfoots farms using portable ATR/Raman equipment. 4. Assessment of the suitability of biospectroscopy sensor-based technologies for the targeted, and potentially automated, precision scheduling of crop protection products and for predicting the quality and shelf-life of crops.  "	"146"	"McAinsh, Martin"	"-1"	"-1"	"Lancaster University"
