"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_MORE_INFO"	"project__PROJECT_OBJECTIVE"	"project__PROJECT_FUNDING"	"institution_data__INSTITUTION_NAME"	"institution_data__INSTITUTION_COUNTRY"	"institution_data__INSTITUTION_ADDRESS1"	"institution_data__INSTITUTION_CITY"	"institution_data__INSTITUTION_ZIP"	"institution_index__inst_id"	"agency_index__aid"	"comment"
"OD0221"	"EMIDA - Development of immune function and avian gut health"	"http://randd.defra.gov.uk//Default.aspx?Menu=Menu&Module=More&Location=None&Completed=2&ProjectID=18232#Description"	"2012"	"2016"	"The DIFAGH proposal links cutting edge technologies with gut flora modification experiments to define the contribution of microbial colonisation to the development of chicken immune capacity, resistance and transmission of infection. The programme unites efforts of experienced avian immunologists, pathogen specialists and gut flora microbiologists, forming a trans-EU team of scientists to address the complex interactions between the chicken and its microbial environment. The proposed programme of work will deliver a combination of high quality fundamental research and practical outcomes, defining a new framework for selecting pro-biotic formulations to accelerate immune development, improve poultry gut health and reduce pathogen carriage. Specifically, we will determine the effects of pro-biotic formulations of differing complexity on the development of immune capability and the outcome of infection. We will also determine the effects on colonisation, persistence and transmission of Campylobacter and Salmonella. The studies will employ pro-biotic formulations under a variety of conditions to define how these interactions affect pathogen dynamics. We will determine the effects of microflora on development of the chicken intestinal immune system and the reciprocal impact of immunity on the microflora. Similarly, we will define the interactions between natural gut microflora, pro-biotic formulations, housing, chicken strain and infection dynamics. Each of these areas will involve application of established and new methods to determine changes in the immune system, the gut flora and disease transmission dynamics. These analyses will be supported by in vitro approaches to determine the microbial recognition events within the bird (such as those mediated by the avian Pattern Recognition Receptor system). One important anticipated outcome of this work will be to develop a new set of selection criteria for identifying components of defined pro-biotic formulations that can be used to promote the health of poultry and reduce the impact of infections that are pathogenic to poultry or transmitted from poultry to humans. We also expect to discover new pro-biotic components, formulations and delivery criteria that will maximise the impact of these sustainable interventions. Delivery of these outcomes is supported by the within programme links to industry and by employing the experienced technology transfer teams at each institution. In addition to the scientific and practical solutions for the industry the DIFAGH programme will also be a focus for recruitment and training of future generations of researchers in this field."	"Global programme objectives: 1. To identify how ontogeny and gut microflora influence the temporal and spatial development of gut immunity and impact on resistance to enteric infection 2. To identify how probiotics affect resistance to infection and oral tolerance 3. To develop a rational framework for the development of new probiotic treatments"	"827483"	"University of Oxford"	"184"	""	""	""	"-1"	"80"	"Please populate institution fields by exploring the institution named on the project."
"OD0556"	"Sheep Scab Host Parasite Interactions"	"http://randd.defra.gov.uk//Default.aspx?Menu=Menu&Module=More&Location=None&Completed=2&ProjectID=18445#Description"	"2013"	"2016"	"Sheep scab, caused by the mite Psoroptes ovis is, arguably, the most important ectoparasitic disease of sheep in the UK and is endemic in the national flock. The disease is highly contagious, causing severe irritation and is a major welfare concern. It is currently controlled using acaricides. However, because of concerns over residues, environmental contamination and drug resistance, this is unsustainable and alternative control methods are needed. Prior infestation with sheep scab alters the progression of any subsequent infestations; lesion size and mite numbers are reduced, offering encouragement for vaccination. Research at MRI has focused on identifying and validating vaccine antigens. This has been informed by a better understanding of the host:parasite interaction, leading to the identification of novel vaccine candidates. Immunisation with a vaccine containing 7 of these candidate molecules prior to infestation with P. ovis resulted in a >50% reduction in lesion area and a significant reduction in mite numbers. This represents the greatest reduction in lesion size with a recombinant sheep scab vaccine and provides real encouragement for future production of a commercially viable means of immunoprophylaxis and we now aim to build upon this success by improving efficacy. P. ovis excretes/secretes a complex repertoire of molecules, triggering an allergic skin response which characterises the disease and creates an environment conducive to mite survival. Identifying immunomodulatory factors produced by parasites is one of the key areas in vaccinology at MRI. The rationale behind using these factors as vaccine candidates is that, if we produce a neutralising host response against them, we can enhance the protective capacity and efficacy of a vaccine. We will therefore focus on identifying P. ovis immuno-modulators to augment the existing vaccine; characterise the nature of the vaccine-induced protective immune response to understand the mechanisms by which vaccination results in reduced pathology and use this information to optimise vaccine delivery. Combining a vaccine and a diagnostic test with targeted acaricidal treatment provides the tools necessary to control sheep scab. With funding from Defra, we developed a specific and sensitive diagnostic test. In partnership with Pfizer Animal Health Ltd and the National Farmer’s Union, Scotland, we will validate this test in the field, as part of our ongoing programme, to determine its utility in local and regional eradication campaigns. Research Aims: i) Identify and characterise P. ovis immunomodulatory factors as additional/augmentative vaccine candidates. ii) Further characterise the mechanisms of vaccine-induced protective immunity. iii) Optimise delivery to stimulate the most appropriate immune response. iv) Validate the sheep scab diagnostic test in the field. By developing sustainable methods for the control of sheep scab based on immunoprophylaxis and subclinical diagnosis, the proposed research programme provides a significant contribution to Defra’s aims of ‘Enhancing the competitiveness and resilience of the food chain and ensuring a secure, environmentally sustainable and healthy supply of food with improved standards of animal welfare’. The research also contributes to the Scottish Government’s strategic objectives of ensuring a ‘Healthier, Wealthier and Fairer’ Scotland in ensuring well treated and healthy farm animals in Scotland"	"1: Identification and characterisation of P. ovis antigens involved in host immune evasion and immunoregulatory mechanisms to identify alternative/augmentative sheep scab vaccine antigens (July 2013 – April 2016). 2: P. ovis life cycle stage specific gene expression (September 2013 - August 2014). 3: Further characterisation of natural protective immunity as a tool for informing the most appropriate mechanisms of a vaccine-induced protective immune response (July 2013 – April 2016). 4: Identification of gene expression patterns in mites that are able to survive in the face of a mounting and directed host immune response (July 2013 – June 2015). 5: Epitope mapping of existing vaccine antigens (July 2013 – June 2014). 6: Presentation of immunogenic epitopes as particulate arrays (December 2013 – November 2014). 7: Presentation of antigens using an epitheliotropic virus vector (December 2013 - November 2014). 8: Vaccination and challenge infestation trials (May 2014 – October 2014) and (May 2015 – October 2015). 9: Vaccine trial analysis and assessment of a vaccine as a useable tool for sheep scab control programmes (July 2015 - April 2016). 10: Field validation of the existing sheep scab ELISA in the context of a sheep scab eradication scheme on the Isle of Mull, Scotland (July 2013 - June 2015). 11: Field validation study in the Republic of South Africa (RSA) in the context of a Government funded regional eradication scheme (July 2013 - June 2014)."	"760152"	"Moredun Research Institute"	"184"	""	""	""	"-1"	"80"	"Please populate institution fields by exploring the institution named on the project."
"OD0557"	"Development of a pen-side test for liver fluke in cattle and sheep."	"http://randd.defra.gov.uk//Default.aspx?Menu=Menu&Module=More&Location=None&Completed=2&ProjectID=18882#Description"	"2013"	"2016"	"This project will aim to develop a pen-side lateral flow device (LFD) for the diagnosis of fasciolosis in cattle and sheep from faecal samples, with the aim of producing a simple to use, rapid test that will allow farmers and veterinarians to make informed decisions on whether treatment is required. We will achieve this through the combined used of the project partners expertise. The resulting lateral flow device will be used for simple, rapid diagnosis of fasciolosis at the pen-side and will provide evidence of the life-stage of F. hepatica, this is of paramount importance as it influences the choice and efficacy of drug treatments. In diagnosing the parasite and the most efficacious treatment option the novel test will provide a clear economic benefit to the livestock producer. The test will also allow compliance with government policy on the best practice for F. hepatica treatment being on an individual animal basis. In doing so overall drug use will be reduced again reducing costs to the farmer and contributing to the reduction of anthelmintic-resistance."	"1: Preparation of F. hepatica antigens (proteins) for immunising mice to generate antibody producing cells 2: Creation of immortal hybridomas in vitro producing antibody to the F. hepatica antigens 3: Optimise ELISA immunoassays using antibodies produced in WP3 to F. hepatica antigens capable of distinguishing mature from immature flukes 4: Develop and produce prototype penside lateral flow devices 5: Evaluate prototype lateral flow devices on farms with a current fluke problem or farms with no history of fluke infection ."	"60000"	"Technology Strategy Board"	"184"	""	""	""	"-1"	"80"	"Please populate institution fields by exploring the institution named on the project."
"OD0722"	"Transmission and Vaccine-Induced Protection of Marek's Disease"	"http://randd.defra.gov.uk//Default.aspx?Menu=Menu&Module=More&Location=None&Completed=2&ProjectID=18441#Description"	"2013"	"2016"	"Marek’s disease (MD), caused by the highly contagious Marek’s disease virus (MDV), remains a major challenge affecting poultry health. Defra funding in the past for MD research was valuable in identifying a number of distinct aspects of MD and maintaining expertise in MD research in the United Kingdom. As part of our research, we have gained significant insights into MD. For example, we have identified several genes, including the MEQ gene and some of the MDV-encoded microRNAs which are directly associated with the induction of cancer. The manipulation of the viral genome to introduce deletions or mutations was possible through the development of infectious bacterial artificial chromosome (BAC) clones of the virus. We have also demonstrated in preliminary studies that viruses deleted in the MEQ gene as well as viruses with deletions of some of the microRNAs can be used as vaccines against virulent MDV. In this project, we want to extent these preliminary studies to examine the efficacy of these viruses as vaccines against different pathogenic virus. Moreover as most of the commercial birds are derived from vaccinated hens and thus have maternal antibodies at hatch, we also want to examine the efficacy of such molecularly-modified vaccines in maternal antibody-positive birds. Until recently, the poultry industry relied mostly on the use of a plethora of live attenuated or inactivated vaccines for the control of infectious diseases. However, there has been an increasing trend in the use of recombinant vectored vaccines, and it is likely that the control of more and more avian diseases will be achieved through the use of recombinant vaccines. Majority of the commercially used recombinant vaccines use the fowl pox virus (FPV) or the herpesvirus of turkeys (HVT) as the vectors. As a virus capable of persisting latently in the vaccinated hosts, HVT-vectored vaccines have been shown to provide long-term protection. In addition to HVT, SB-1 and Rispen’s (CVI988) strains of herpesviruses are also used as vaccines by the poultry industry. However, these strains have not been widely exploited as recombinant vectors. We have previously reported the construction of infectious BAC clones of HVT, SB-1 and CVI988, and have recently shown that HVT BAC clones could be easily manipulated to express foreign genes. In this proposal, we want exploit the use of SB-1 as a recombinant vector against viruses such as IBDV and NDV. MD vaccines, except HVT, are only available as ‘wet vaccines’ to be transported in liquid Nitrogen. This is because these vaccines are cell-associated and the infectivity relies on the use of live infected cells for vaccination. HVT on the other hand, can produce cell-free virus at least partially, and hence is also available as freeze dried ‘dry’ vaccines. As part of the previous project, we have identified the association of some of the HVT glycoproteins in cell-free virus production. We want to explore the functions of these glycoproteins in order to understand the determinants of cell-free virus production, and examine the possibility of developing novel cell-free viruses with the serotype 1 MDV."	"1. Examine whether novel molecularly-defined vaccines be derived from Marek’s disease vaccine strains deleted/mutated in oncogenic determinants. 2. Exploit the bacterial artificial chromosome (BAC)-mutagenesis strategies to develop novel SB-1 strain-based recombinant viral vaccines expressing protective viral genes from selected avian pathogens. 3. Identify the determinants of cell-free virus production in avian herpesviruses and examine the prospects of developing novel vaccines from MDV-1 vaccine strain."	"890330"	"IAH - Institute for Animal Health"	"184"	""	""	""	"-1"	"80"	"Please populate institution fields by exploring the institution named on the project."
"OD1718"	"Controlling the impact of Escherichia coli mastitis through modulation of immune responses"	"http://randd.defra.gov.uk//Default.aspx?Menu=Menu&Module=More&Location=None&Completed=2&ProjectID=18915#Description"	"2013"	"2017"	"Mastitis remains one of the main infectious diseases affecting dairy cows. Escherichia coli (E. coli) is a major causal agent of ""clinical"" mastitis which frequently occurs after parturition and in the early lactation period. Incidence of E. coli mastitis has been increasing relentlessly over recent years and usually presents with acute, severe clinical effects for which current management, prevention or treatment strategies are frequently insufficient or futile. E. coli is a common resident in the intestine and adaptation of specific strains (Mammary Pathogenic E. coli - MPEC) to intra-mammary infection and the emergence of bacterial resistance to current antibiotics present ongoing risks to control measures. While the few available E. coli mastitis vaccines are beneficial, they have debatable efficacy. Hence, adequate control of E. coli mastitis urgently requires a novel generation of immunity-promoting products and/or other treatments. To significantly improve clinical mastitis control, cross-disciplinary collaboration is mandatory. Our international consortium proposes an innovative strategy with strongly linked goals: extensive genomic and phenotypic characterization of MPEC strains; identification of novel critical inflammatory factors both at the bacterial and host response level using advanced molecular tools and complementary in vivo models; and, definition of key innate and adaptive immune cell determinants of this inflammation-mediated pathology with emphasis towards protective immune responses. This combined gain in fundamental knowledge on the host-pathogen interactions in E. coli mastitis will support selection of novel candidates for evaluation as diagnostic, immunoprophylactic or therapeutic targets. Participation in this project of an international company at the leading edge of delivering animal health solutions ensures delivery of translational outcomes for disease control through the knowledge gained on the interaction between MPEC and cattle."	"Key aims are to: (i) advance understanding of determinants of pathogenhost interaction in clinical mastitis, (ii) define innovative approaches with potential as possible control measures, and (iii) prioritise candidate(s) to aid development of innovative, effective control regimens."	"747433"	"University of Glasgow"	"184"	""	""	""	"-1"	"80"	"Please populate institution fields by exploring the institution named on the project."
"OZ0153"	"Evaluation of Disinfectants against E. Coli (VTEC O157) and Campylobacter in vitro and on farms."	"http://randd.defra.gov.uk//Default.aspx?Menu=Menu&Module=More&Location=None&Completed=2&ProjectID=17666#Description"	"2013"	"2018"	"Escherichia coli are common Gram-negative bacteria that form a normal part of the gut flora of humans and animals. However, among the different pathotypes of E. coli some can cause human disease, with the verocytotoxigenic E. coli (VTEC) serotype O157:H7 being one of the most virulent and widespread causing haemorrhagic colitis and haemolytic uraemic syndrome. In 2009, an outbreak of VTEC O157:H7 led to severe illness in a number of visitors to an open farm in Surrey with several cases of life-threatening haemolytic uraemic syndrome in young children. VTEC O157 can be found in several livestock species without causing clinical symptoms in these animals, and the main reservoir seems to be cattle, in particular youngstock. Campylobacteriosis is the most common cause of acute bacterial enteritis in the UK with the main food borne source being poultry meat. In order to prevent carry-over of pathogens from one group of animals to the next and from animals to people, disinfectants are applied to surfaces in animal accommodation. A wide range of products belonging to several groups of chemicals are licensed and used for this purpose, but not all disinfectants are equally effective. While the presence of organic matter does affect the efficacy of all disinfectants to some degree, some are more effective than others in the presence of organic matter due to their chemical properties. In addition to disinfection of surfaces, boot dips are in use on many farms to prevent carry-over of pathogens between different groups of animals. However, disinfectants in boot dips need to be particularly effective in the presence of faecal matter, and previous studies have found that boot dips as currently used in many livestock enterprises are often not efficient barriers to infection and may therefore represent a waste of resources leading to a false sense of security. On many farms, hand sanitizers are used where hand washing facilities are not feasible to reduce the bacterial count on hands and gloves. The use of hand sanitizers has been recommended as a key element of biosecurity, but little hard data exists on efficacy against VTEC O157 or Campylobacter. The proposed work will provide robust data on the best performing disinfectants to be used against VTEC O157 and Campylobacter on livestock premises and will give guidance on which products are most suitable for the different types of applications. These results will be of high practical value and will be used in the future to better inform farmers about the most suitable products they should use to control those bacteria. Several studies suggest that exposure of VTEC O157:H7 to biocides may to lead to an adaptive response which is also likely to lead to cross-resistance to other antimicrobials and biocides. However, the adaptive response mounted is likely to be dependent on the biocide used, its concentration, the number of times and duration of each exposure. The aim of the molecular component of this project is to assess these factors critically at the molecular level using global gene expression studies to understand the basis of development of biocide resistance in VTEC O157 strains and determine conditions which are least likely to lead to such resistances in future, so an effective method may be recommended for long term use on farms as a result of this study. In addition to the expected scientific results, the proposed work on VTEC O157 will help maintain expertise on working with this pathogen in category 3 facilities at AHVLA Weybridge and also allow for training of two members of staff to work on VTEC O157 to allow continuity of this work at the Weybridge site following the upcoming retirement of currently trained staff. The proposed Campylobacter work will contribute to the maintenance of expertise on Campylobacter at the AHVLA and the development of laboratory methods. The results from the project will be summarised in scientific publications but can also be produced as an information leaflet for farmers."	"01 – Evaluation of the efficacy of different disinfectants against VTEC 0157:H7 – in vitro and on-farm studies 02 – Evaluation of the efficacy of different disinfectants against Campylobacter – in vitro and on-farm studies 03 – Molecular basis of disinfectant resistance in VTEC"	"539196"	"A H V L A (Animal Health and Veterinary Laboratories Agency - AHVLA)"	"184"	""	""	""	"-1"	"80"	"Please populate institution fields by exploring the institution named on the project."
"OZ0344"	"Control measures for Salmonella on pig farms and their effect on endemic disease and productivity"	"http://randd.defra.gov.uk//Default.aspx?Menu=Menu&Module=More&Location=None&Completed=2&ProjectID=18275#Description"	"2013"	"2018"	"The prevalence of Salmonella in UK in both breeding and slaughter pigs is amongst the highest in Europe. Future regulatory and NCP targets are therefore likely to be very difficult to achieve. There is an urgent need to investigate in detail the effectiveness of control measures in the field, to define the best and most cost-effective methods, their benefit in terms of reduction of public health risk and other pathogens of economic importance in pig production and to effectively transmit the resulting information and guidance to pig producers in a highly motivational way. It is necessary to focus on farm reduction as well as measures in the abattoir as the latter can be undermined by high levels of infection in slaughter pigs and highly infected farms form a reservoir of Salmonella that can spread to other livestock sectors, feed production and contaminate the rural environment. Objective one focuses on a detailed investigation of the protective factors that operated on low (<10% incidence) Salmonella seroprevalence pig farms, the so called ‘Platinum Pig farms’. Previous limited work and a small number of detailed AHVLA investigations of zero-seroprevalence farms have suggested that management of the time of exposure to infection to enhance ‘herd-immunity’ in finishing pigs is critical. We will carry out intensive veterinary microbiological investigations linked with a case control study to further elucidate protective factors on low prevalence farms. Objective two recognises international scientific evidence that there is no single control measure, or simple combination of control measures that can be successfully and economically applied to all pig farms and so a targeted farm-specific control plan is needed. Accredited pig farms are required to have a Salmonella control action plan in place but this can be a general tick-box exercise and is not based on bacteriological evidence, or monitored for effectiveness. Specific interventions such as feed or water acidification, vaccination, improved cleaning and disinfection of finishing pens, improved pest control, all-in/all out production, changes in feed formulation etc. can be included in such control plans and are being trialled by BPEX, pig veterinarians and pig farming companies in various uncontrolled and statistically non-valid ways. We will aim to link with such initiatives to provide statistical input and detailed investigation of the effects of such farm control plans on Salmonella and other production-limiting conditions. We will apply cost analyses and QMRA studies to these, evaluate compliance and refine applications to demonstrate the effectiveness of properly targeted approaches. Objective three will involve further refinement of the BPEX/FSA farm auditing tool to target it more effectively to evaluate measures associated with improved Salmonella control. Objective four will supply detailed data on the most effective detergent/sanitizers and disinfectants to use for porcine Salmonella. Objective five will investigate associations between social network characteristics and prevalence of Salmonella and other disease surveillance conditions. The objective will also compare bacteriological sampling from the study visits against serological surveillance sampling, and evaluate associations between bacteriological Salmonella prevalence and performance indicators. Objective six will deliver a comprehensive industry education package aimed at updating and consolidating existing sources of guidance in a farmer-friendly way. Objective seven will provide a comprehensive final report document"	"One – Study of protective factors on historically-low Salmonella seroprevalence pig farms two – longitudinal study of the effect of targeted action plans on breeding and commercial pig farms three – Improvement to the pig farm auditing tool to reflect findings in objectives one and two four – Study of cleaning and disinfection on pig farms five – Study of cumulative ZNCP and slaughter data by risk factor and network analysis six – Industry Education Package seven – production of overall project final report"	"1738428"	"A H V L A (Animal Health and Veterinary Laboratories Agency - AHVLA)"	"184"	""	""	""	"-1"	"80"	"Please populate institution fields by exploring the institution named on the project."
"OZ0347"	"Development of enhanced methods for outbreak investigation and source attribution of Salmonella."	"http://randd.defra.gov.uk//Default.aspx?Menu=Menu&Module=More&Location=None&Completed=2&ProjectID=18884#Description"	"2014"	"2017"	"The Salmonella strain collection held by APHA is a unique and irreplaceable resource of national and international importance. Maintaining a representative collection of well characterised field and reference Salmonella enterica isolates fulfils the need to conserve reference strains for quality control, development of new typing schemes and source that provides a historic context for prospective studies aimed at understanding this important zoonotic pathogen. Furthermore, the application of new low-cost high-throughput technological approaches to study archived strain collections provides the opportunity to retrospectively analyse old collections providing fresh insights into the epidemiology, transmission and disease patterns. A case in point is the opportunity provided by the emergence of next-generation sequencing technology that has in the last few years made whole genome sequencing (WGS) of thousands of bacterial isolates financially viable. In collaboration between the APHA, the Wellcome Trust Sanger Institute (WTSI) and PHE, we propose to take a methodical approach to evaluate the potential for retrospective analysis of the APHA Salmonella strain collection. The isolates span over 20 years and the majority are of serotypes that have zoonotic potential. Thus investigating this collection in detail will provide data and context relevant not only to animal health, but also human health. The massive strain collection and related epidemiological and spatio-temporal data will be scrutinised using statistical, Bayesian and phylogenetic methods which will then be used to inform selection of strains for comparative WGS to investigate the genetic properties of key Salmonella strains that are associated with their emergence and decline within certain livestock sectors and environmental niches. DNA based methods have been recommended to replace serotyping for strain discrimination. Sequencing a comprehensive background collection of Salmonella isolates of different serovars will facilitate the development of MLST typing scheme for routine use at APHA, which supplemented by even more discriminatory sequence-based typing methods based on entire genomes will increase strain discrimination and provide a clearer picture of long-term transmission. The proposed study will provide: (1) Context for future control programmes and potentially identify genetic markers for low- cost surveillance tests to identify potentially significant new strains at an early stage. (2) This work will generate algorithms, validated by the sequence data that can be used to select representative strains, allowing a rationalisation of current strain storage and consequent cost savings for selection of representative strains from future surveillance. (3) Work on the genetic stability of strains during different storage conditions will lead to optimisation of long-term storage and maintenance of strains in a manner that minimises losses in viability and genetic change making them more valuable to Government and commercial interests for future work. (4) The findings will also feed into Defra components of future EFSA/ECDC initiatives on molecular typing of zoonotic pathogens, particularly in replacement of the reference laboratory serotyping of Salmonella spp. with WGS based typing by defining MLST derived clonal complexes and replacement of the current reference laboratory methods such as phage typing and MLVA/PFGE with SNP based phylogenies for strain resolution."	"01 - In silico analysis: Assessment and analysis of the full collection of epidemiological metadata to inform sequencing studies and strain selection 02 - Microbiological: Triage of Salmonella stock cultures 03 - Molecular studies and whole genome sequencing 04 - Sequence data storage"	"831344"	"A H V L A (Animal Health and Veterinary Laboratories Agency - AHVLA)"	"184"	""	""	""	"-1"	"80"	"Please populate institution fields by exploring the institution named on the project."
"SE0316"	"Brucellosis diagnostics and immunology"	"http://randd.defra.gov.uk//Default.aspx?Menu=Menu&Module=More&Location=None&Completed=2&ProjectID=19592#Description"	"2015"	"2018"	"The ambition of this project is to contribute towards the maintenance of GB’s Officially Brucellosis Free (OBF) status. This has been in place since 1985 and is of great economic value to the nation. To maintain freedom of disease the nation must rapidly identify and then resolve outbreaks of disease. This may occur via re-importation of infected animals or even re-emergence from an environmental source. The aim of this project is to improve the tools available to detect, trace and eradicate any reintroduction of disease as well as to better facilitate the efficient maintenance of disease free status. This project aims to improve the specificity of immunological assays for the indirect detection of brucellosis in livestock. The currently available tests are vulnerable to cross reactions due to infection with some non-Brucella organisms. The aim is to improve specificity through the design, synthesis and application of cutting edge oligosaccharide antigens which contain only the unique structural elements of the dominant Brucella antigen. The native antigen contains these epitopes within polymers which also contain common epitopes. The project also supports the production, purification and investigation of other abundant surface antigens, such as the rough lipopolysaccharide, that we will derive from Brucella culture. Direct detection methods have potentially greater specificity than immunological tests. The challenge is that Brucella occurs at very low levels in accessible clinical material such as milk and blood. Therefore a means to improve the direct detection of Brucella DNA will be developed and evaluated. This method will combine two powerful techniques, immuno-capture and Real Time PCR, to increase the concentration of target DNA in biological samples in a manner compatible with specific application by PCR. Anti-Brucella antibodies will be coupled to small magnetic beads which will be dispersed and incubated within biological samples. Any Brucella cells present in the samples will specifically bind to the antibodies on the beads. These beads can be concentrated and washed with the aid of magnets such that any captured Brucella cells remain surface bound. The cells, and their DNA, can then be delivered to the PCR reaction. The third challenge to be addressed is to improve the means by which outbreaks of disease can be traced back to source. Traditional classification methods have very low ability to differentiate strains from the same Brucella species and biovar. DNA based molecular methods have greatly improved resolving and identification capability. However, the DNA of different strains of Brucella frequently have such similar DNA sequences that even these methods lack power. This project will combine whole genome sequencing and bioinformatics tools to maximise the ability to differentiate between strains of Brucella. Working with samples from the APHA archive and sourced from international partners we shall construct a database of whole genome sequences such that the ability to identify the source of any disease outbreaks is improved."	"1: Developing and applying capped synthetic oligoperosamine-BSA glycoconjugate antigens for the serodiagnosis of bovine brucellosis 2: Further evaluation of antigenic potential and diversity of the rough lipopolysaccharide (rLPS) for the serodiagnosis of bovine and porcine brucellosis 3: Improvement of molecular diagnostic sensitivity by immunocapture PCR 4: Enhanced epidemiology using whole genome sequencing and other molecular methods 5: Maintenance of current molecular typing schemes"	"675130"	"APHA (Animal and Plant Health Agency)"	"184"	""	""	""	"-1"	"80"	"Please populate institution fields by exploring the institution named on the project."
"SE0430"	"Mammalian vectors of exotic diseases, including rabies"	"http://randd.defra.gov.uk//Default.aspx?Menu=Menu&Module=More&Location=None&Completed=2&ProjectID=19597#Description"	"2015"	"2018"	"The Defra policies of “protecting animal health and preventing disease” and “protecting animal welfare” are both helped by avoiding the incursion of exotic diseases, which may infect livestock or wildlife. Rabies is one of many exotic wildlife diseases which threaten the UK. The OIE lists rabies, Echinococcus multilocularis and Trichinella infection as notifiable, amongst others. The current wildlife rabies contingency plan is very well developed, and has been repeatedly tested in numerous training exercises. This plan involves both the logistical aspects of eradication in wildlife and the predictive simulation modelling to enable a geographically specific contingency plan to be developed. The team responsible for putting the plan into action will be working on this research project to ensure the wildlife diseases contingency plan is refined, improved and broadened to include as many exotic diseases as possible. We propose that this work will progress in these two related areas to permit our current rabies response to be adapted for a more generic wildlife disease situation, as well as ensuring that the rabies contingency plan stays up to date. This will significantly increase our ability to respond to and control any wildlife disease incursion, and the ability to respond timely and proportionately will minimise any upstream costs to government and the taxpayer of new diseases becoming endemic. Additionally, this ability to minimise the time to disease eradication will reduce the time that businesses remain under official restrictions. The establishment and spread of the OIE listed diseases above will probably be heavily dependent on the urban fox density, since this is the greatest opportunity for introduction of infection, allied with the highest available densities. We propose to update urban fox density data by collaborating with ongoing studies. We also propose to refine all mammalian density estimates based on available systematic data collection to ensure that the underlying data for wildlife diseases are available. Computer modelling for exotic disease management is a growing area, and we plan to investigate the potential for eradication of exotic disease other than rabies."	"1. Exotic disease modelling British bats. Simulate Lyssavirus spread in British bat species, using known behavioural characteristics to determine which species are most likely to be able to spread exotic viral diseases. 2. Ongoing evaluation of urban fox density. Continue working with ongoing annual student project results to improve the evaluation of urban fox density in Britain. 3. Examine the spread of rabies in a fox/cat model. Using the latest data on urban cat density, determine the risks to domestic cats from the epidemiology of fox rabies in urban and rural areas. 4. Echinococcus contingency modelling. Simulate the introduction, spread and control of Echinococcus multilocularis into Britain to determine options for the eradication of exotic parasitic diseases in foxes. 5. Continue to collate and refine British mammal density data. To aid in the evaluation of exotic disease spread in British mammals, we will collate available information on abundance and density to refine systematic estimates."	"537187"	"APHA (Animal and Plant Health Agency)"	"184"	""	""	""	"-1"	"80"	"Please populate institution fields by exploring the institution named on the project."
