"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"agency_index__aid"	"investigator_data__name"	"investigator_index__inv_id"
"R000239980"	"Relocalisation and Alternative Food Networks: A Comparison of Two Regions"	"http://researchcatalogue.esrc.ac.uk//grants/R000239980/read"	"2003"	"2005"	"The territorial link between product and place in the UK has been eroded by 'industrialised' farming systems, agricultural support policies and the dominance of food supply chains by agribusiness, food processors and corporate retailers. While ensuring regular and standardised food supplies, these processes have also resulted in over-production, collapsing farmgate returns and rising public fears about food safety. Thus interest is growing in the potential for developing 'alternative' or 'relocalised' food systems based on quality, traceability and shorter supply chains. This research aims: to Conceptualise food relocalisation; Compare the extent of food relocalisation in the West Midlands and South-West regions of England; Analyse institutional strategies for promoting food relocalisation; Examine producer attempts to develop local food networks; Explore consumer perceptions of local food products; and Examine the policy implications of food relocalisation. Qualitative and quantitative methods will be used to unravel the complex networks operating between producers, consumers and institutions. The main outputs of the research will be An informed conceptualisation of food relocalisation; An explanation of current food relocalisation processes in the two regions; and A set of policy recommendations for the future development of sustainable local food supply systems. "	"81"	"Ilbery, Brian"	"-1"
"ES.K010018.1"	"Predicting urban food insecurity under climate change in Brazilian Amazonia"	"http://researchcatalogue.esrc.ac.uk//grants/ES.K010018.1/read"	"2014"	"2016"	"Governments have recognised the need to reduce the societal impacts of climate change by improving the adaptive capacity of poor, marginalised populations to severe weather events. Extreme events such as droughts cause significant economic losses, and threaten human health and food security. Drought impacts may be significant in regions where food distribution is largely dependent on river-transport. The main objective of this project is to develop a computer-based tool for predicting where and when food security of Amazonian city-dwellers will be threatened by droughts, because of impaired river transport and higher food prices. In addition to collecting food-price data, household food insecurity will be assessed using questions from the Brazilian Food Insecurity Scale. This data will be combined with freely-available information on river levels and poverty distribution across the whole Amazon to produce predictive models. The outcome will be a tool that can generate maps to show the level of Food Security Risk for all municipalities in the Amazon, which will facilitate strategic investment of resources to reduce urban food insecurity."	"81"	"Parry, Luke"	"-1"
"R022250208"	"Towards an Understanding of How Young Children Make and Overcome Neophobic Food Responses"	"http://researchcatalogue.esrc.ac.uk//grants/R022250208/read"	"2001"	"2003"	"Parents of toddlers know that their children will refuse to try new foods, especially vegetables, without ever having tasted them. A different packet of crisps, however, will be accepted quite happily; the packet may look different, but most children will try what is inside. The refusal to try new foods on sight is caused by the neophobic response to foods; a refusal to try a food that has not been eaten before. This process is reasonably well understood, although no research has been carried out into when, or how, it first develops. The second process, that of being able to overcome the neophobic response and eat a new food because it looks similar to a known food, is not well understood. Knowledge about this generalization process may however help in the understanding of how young children’s diet may be improved to include more ‘healthy’ foods. This study will look at the development the fear of new foods, and the categorisation of, and generalizations made about, liked foods, in children between the ages of two and four years. Some children will be observed throughout this time, others will help us, at different age points, with various sort, or forced choice, tasks. "	"81"	"Greville-Harris, M"	"-1"
"RES-344-25-0001"	"Vulnerability and Adaptation of Food Systems to Global Environmental Change"	"http://researchcatalogue.esrc.ac.uk//grants/RES-344-25-0001/read"	"2007"	"2008"	"Global Environmental Change and Food Systems (GECAFS) is an international research project based in the Environmental Change Institute, University of Oxford. GECAFS aims to determine strategies to cope with the impacts of global environmental change on food systems and to assess the environmental and socioeconomic consequences of adaptive responses aimed at improving food security. ESRC funding supports a Science Officer to develop and coordinate international research on the vulnerability and adaptation of food systems to environmental change. The research bridges both natural and social scientific understandings of food systems and stresses collaboration with field research to refine and elaborate analytical frameworks. Methods include: Leading a process of research synthesis arising from collaborative research activities on key issues: Understanding food systems; Assessing the vulnerability of food systems to global environmental change; Identifying potential adaptation options to increase the resilience of food systems to GEC while ensuring that food security is achieved; Using scenarios and other tools to assess the feedbacks from food system adaptations, to try to mitigate negative social and environmental consequences. That the research frameworks and findings on the vulnerability and adaptation of food systems are relevant and applicable to decision-making and policy processes. "	"81"	"Liverman, Diana"	"-1"
"ES.J018317.1"	"Food riots and food rights: the moral and political economy of accountability for hunger"	"http://researchcatalogue.esrc.ac.uk//grants/ES.J018317.1/read"	"2012"	"2014"	"The challenge of world hunger is not only about growing more food but about ensuring access to it. How can governments be made more accountable for ensuring access to food? The research addresses this question by comparing two approaches people have been taking to making governments more accountable for food security. Focusing on the ‘food crisis’ since 2007, it will examine right-to-food movements and riots over food prices in Bangladesh, India, Kenya and Mozambique. The research asks: How well do officials and policymakers understand how food price rises affect people? How do people view government responsibilities to protect access to food? Under what conditions do riots and right-to-food campaigns make governments more accountable for hunger? The research will involve interviews with activists, protestors, affected groups (particularly women on low incomes), key officials and policymakers, and secondary analyses of media accounts of protests and activism, and official policy changes and statements. It will improve understanding of how to hold governments to account over hunger, enable policymakers to better anticipate and monitor the effects of food price volatility, and create opportunities for activists to engage with policymakers and government officials."	"81"	"Hossain, Naomi"	"-1"
"RES-000-22-0161"	"Restriction and Reward: Consequences for Children's Food Preferences"	"http://researchcatalogue.esrc.ac.uk//grants/RES-000-22-0161/read"	"2003"	"2004"	"There is evidence in the literature that an enhancing/discounting effect occurs when a food is used either as a reward or an instrumental task; a strategy often used by parents to get children to eat disliked foods. There is also evidence to suggest that food that is withheld is also subject to enhancement similar to that of a reward food. However, recent pilot studies conflict in their support of this hypothesis. This may be because for some children, no foods are withheld in the home and so the enhancement effect is not open to them. The aim of this research project is to run a series of simple tasks in which the discounting/enhancing of foods which are made more or less available, either by using a story paradigm or by using a real food choice task, will be evaluated. The data from the tasks will be compared with data from parental questionnaires, so that the relationship between parental feeding management style and the childs cognitions about wittheld food can be determined "	"81"	"Greville-Harris, M"	"-1"
"RES-224-25-0041"	"Eating Biodiversity: An Investigation of the Links between Quality Food Production and Biodiversity Protection"	"http://researchcatalogue.esrc.ac.uk//grants/RES-224-25-0041/read"	"2005"	"2007"	"Modern food production systems have long been thought of as essentially detrimental to biodiversity. Although the last twenty or so years have seen an increasing number of policy measures and instruments to reduce biodiversity loss in agricultural areas biodiversity is largely conceived as an 'externality' to the process of food production, albeit a positive externality, which responds to societal demands. Increasingly, where food comes from is becoming important as a means of regaining consumer trust. Food that comes from identifiable natural areas is often perceived to be more trustworthy and of better quality than anonymous industrialised produce. In countries such as France and Italy, the specific natural qualities of individual ‘terroirs’ define not only the agronomic conditions of production but also, and crucially, the distinctive taste and consumption experience associated with the product. By examining selected examples of specific food production chains that fully integrate biodiversity as an explicit means of generating distinctiveness and adding value, this research offers an inter-disciplinary perspective by positioning biodiversity and environmental quality as an integral 'input' to, and component of, food quality. The research is investigating through the combining of social and natural science, the extent to which environmental distinctiveness and quality (specifically the biodiversity of grasslands) in UK food production sites can be actively ‘valorised’ through the food product chain to ensure the protection, maintenance and enhancement of that natural distinctiveness and quality but also to achieve similarly distinctive quality food products and the socio-economic benefits for producers and rural communities that might accrue from their production "	"81"	"Buller, Henry"	"-1"
"PTA-026-27-0134"	"Postdoctoral Fellowship: Things Becoming Food: Practices of Organic Food Consumers"	"http://researchcatalogue.esrc.ac.uk//grants/PTA-026-27-0134/read"	"2003"	"2004"	"This fellowship is interested in apprehending the process by which things (the bodies of animals and plants) become food. It investigates questions about how the relationship between production and consumption can be addressed beyond the Modernist dichotomous tradition. Foodstuff (potatoes, carrots, and flour) is traced from the site of production, through the site of food preparation and into the site of the stomach by way of empirical and theoretical conceptualisations of the embodied practices of organic food consumers. An innovative methodological framework is deployed which works with visual methods (video diary material) in conjunction with more traditional methods (in-depth focus groups) to apprehend the cognitive, represented knowledges and corporeal, visceral knowledges of organic food consumers. The lines of an intercorporeal, material ethic are drawn between bodies that eat and bodies that are eaten. The project aims: to challenge existing studies of food, by problematising the category of food as anything other than the meaning-making of a thing performed as edible by the practice of eating; to demonstrate new approaches for studying interior processes of the body using non-scientific methods;  to develop connections between materiality, corporeality and practical ethics; to offer a distinctly geographical contribution to the development of visual methodologies in the social sciences. "	"81"	"Roe, Emma"	"-1"
"RES-061-25-0307"	"Food Matters: A sociological case study of food and eating across the life course in York c. 1945 - 2010"	"http://researchcatalogue.esrc.ac.uk//grants/RES-061-25-0307/read"	"2009"	"2011"	"What, where, when and with whom we eat has changed dramatically in recent history. This research explores how changes in food and eating are to be understood in relation to the life course and discourses about health and illness, specifically in the English city of York since the Second World War. To do this, longitudinal quantitative analysis of the Millennium Cohort Study, the 1970 British Cohort Study and the National Diet and Nutrition Survey will be conducted. This will be complemented by the analysis of qualitative material (eg food diaries, letters) stored within the UK Mass Observation Archive. Within York, documentary sources, such as menus and cookery books, will be examined and interviews will be undertaken with those involved in food production, retailing, and food related polices. Twelve focus groups with local residents, who vary in age (7-76 years), class and gender, will be conducted to explore their experiences and views on food and eating over the life course. Complexity theory will be used to inform the data analysis with a view to understanding how global, national, local, and personal level food practices are interrelated. The findings are likely to appeal to academics, policy makers and the public."	"81"	"Uprichard, Emma"	"-1"
"ES.L00514X.1"	"Households, Retailers and Food Waste Transitions"	"http://researchcatalogue.esrc.ac.uk//grants/ES.L00514X.1/read"	"2013"	"2015"	"This research and knowledge exchange project will generate new perspectives on the causes and management of food waste. In order to explore the ways in which the challenge of food waste reduction is being framed, interpreted and responded to, 20 in-depth qualitative interviews will be carried out with a range of relevant stakeholders including retailers, activists and charities. These key informant interviews will be contextualized by analysing the content of secondary data sources including policy documents, company reports, print media and campaigning materials. Particular attention will be paid to the processes through which food waste has been positioned as an issue that households and retailers must take responsibility for. Concomitantly, quantitative datasets will be analysed (existing surveys of UK eating habits) in order to develop social scientific accounts of household food waste. Particular attention will be paid to the organisation of everyday life, cultural conventions, household dynamics and a range of different actors within the food system. Additionally, through a series of multi-stakeholder workshops and exhibitions - involving academic researchers, retailers, non-governmental organisations and policy makers - this project will share data, develop state of the art thinking about food waste and identify innovative practical mechanisms for its reduction. "	"81"	"Evans, David"	"-1"
