"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"institution_data__INSTITUTION_ADDRESS1"	"institution_data__INSTITUTION_CITY"	"institution_data__INSTITUTION_COUNTRY"	"institution_data__INSTITUTION_ZIP"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"agency_index__aid"	"comment"
"03-2013"	"A study of domestic fridges on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/A-study-of-domestic-fridges-on-the-island-of-Irela.aspx"	"2013"	"2014"	"This project investigated consumer practices and operational parameters associated with domestic fridges from a stratified sample of households across the island of Ireland. The data from the study will enable safe food to develop targeted consumer advice to address ongoing deficits in consumer knowledge and behaviour relating to safe food storage.With the introduction to the market of new fridge designs and recent changes to consumer food preparation behaviours, there is a need develop the evidence base and identify possible interventions to protect public health around correct food storage. "	"Queen's University Belfast"	""	""	""	""	"Koidis, Tassos"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/A-study-of-domestic-fridges-on-the-island-of-Irela.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"02-2011"	"Assessment of the ability of dishcloths to spread harmful bacteria to other kitchen surfaces and determination of the effectiveness of various dishcloth cleaning regimes"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Assessment-of-the-ability-of-dishcloths-to-spread.aspx"	"2011"	"2012"	"Dishcloths are routinely used in many domestic kitchens to clean worktops and other contaminated food contact surfaces. The prospect that such dishcloths may actually harbour pathogenic bacteria such as E. coli, Salmonella and subsequently facilitate the spread of these microorganisms during cleaning is of concern to safe food . Indeed a previous study commissioned by  safe food  showed that a range of foodborne pathogens survive on dishcloths for at least a day, and that such reservoirs of potentially dangerous bacteria may lead to cross contamination within the kitchen environment, thus increasing the possibility of food poisoning (McDowell et al. 2010).This project built upon the outcomes of a previous dishcloth survey and provided solutions to consumers upon which advice can be based and communication activities designed."	"University of Ulster"	""	"Jordanstown"	""	""	"McDowell, David"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Assessment-of-the-ability-of-dishcloths-to-spread.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"01-2011"	"The microbiological status of household dishcloths and associated consumer hygiene practices on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/The-microbiological-status-of-household-dishcloths.aspx"	"2011"	"2011"	"Dishcloths play a role in every kitchen in so far as they clean worktops and surfaces of visible contamination. However, one of the most dangerous sources of virulent bacteria including E. coli , Salmonella and others, is the typical kitchen dishcloth, as food residues adhere to the surface.These food residues, together with the moisture retained in the dishcloths, offer a favourable environment for bacterial growth. Studies indicated that various bacteria survive on dishcloths for hours or days after initial contact with microorganisms which may lead to cross contamination within the kitchen environment increasing the possibility of food poisoning.The objective of this project was to carry out a survey of 200 in use household dishcloths to elucidate their microbiological profiles. "	"Eolas International Research Ltd., Co."	""	"Cork"	""	""	"Boer, Martine De"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/The-microbiological-status-of-household-dishcloths.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"06-2010"	"Communicating to Consumers about Food Hazards in the Home"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Communicating-to-Consumers-about-Food-Hazards-in-t.aspx"	"2010"	"2011"	"This project determined the precursors to food safety behaviour and decision-making processes of the 120 participants in the study.This project investigated how different stimuli are perceived by different individuals, and ascertained the key psychological factors which underpin food safety decision-making processes and behaviour. Specifically, the ability to process new information; motivation to process new information; desire/perceived need to process new information; preferences for central or peripheral processing stimuli; perceptions and heuristics; trust and recall of risk messages were measured. The outcome is a fuller picture of how different messages resonate with particular consumer profiles, and adds to the overall evidence base on which to build food safety messages for delivery across the island of Ireland."	"University College Dublin"	""	""	""	""	"Wall, Patrick"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Communicating-to-Consumers-about-Food-Hazards-in-t.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-2007"	"Determination of the appropriate cooking regimes for recommendations for the safe roasting/cooking of stuffed turkey"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Determination-of-the-appropriate-cooking-regimes-f.aspx"	"2007"	"2007"	"This evidence-based study reviewed the standard cooking advice for stuffed and unstuffed turkeys to ensure food safety whilst maintaining the sensory qualities of the meat.The study provided appropriate cooking times and temperatures for a range of different sizes of bird in fan assisted ovens and investigated the effect of stuffing on the microbiological safety and sensory acceptability of cooked turkey.This has allowed safe food policy to be developed in relation to consumer advice where empirical data did not previously exist and expert opinion was used. This has facilitated the organisation in addressing consumer enquiries and producing consumer communications in the Christmas 2007 campaign."	"Campden & Chorleywood Food Research Association"	""	"Gloucestershire"	""	""	"Gaze, Joy"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Determination-of-the-appropriate-cooking-regimes-f.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-RESR-013"	"Persistence and dissemination of Salmonella and Campylobacter in domestic kitchen environments"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Persistence-and-dissemination-of-Salmonella-and-Ca.aspx"	"2005"	"2008"	"A considerable proportion of foodborne illness is acquired from food prepared in domestic kitchens. There is limited information available on where and how food pathogens survive in kitchens, how they adapt and which subsequent food preparation activities are most important in transferring these pathogens to food.This study generated information on the survival, adaptation and spread of two major pathogens, Salmonella and Campylobacter , in domestic kitchens."	"University of Ulster"	""	"Jordanstown"	""	""	"McDowell, David"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Persistence-and-dissemination-of-Salmonella-and-Ca.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"06-2014"	"Understanding consumer behaviour in the usage of hand sanitisers and establishing their efficacy"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Understanding-consumer-behaviour-in-the-usage-of-h.aspx"	"2014"	"2015"	"Hands serve as vectors for the transmission of pathogens to food and drink and good hand hygiene is a fundamental element of combatting food borne illness worldwide. This promotes effective handwashing requiring warm water and soap with a reliance on hand sanitizing gels in situations where these are unavailable. Indications are that the availability and usage of hand sanitizing gels has increased in recent times. This project, which will include a literature review, will investigate the efficacy and consumer use of hand sanitizer gels on the island of Ireland. In particular the project will ascertain:"	"Queen's University Belfast"	""	""	""	""	"Dean, Moira"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Understanding-consumer-behaviour-in-the-usage-of-h.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"08-2007"	"Assessment of the critical control points during domestic food preparation on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Assessment-of-the-critical-control-points-during-d.aspx"	"2008"	"2009"	"Poor food-handling and hygiene practices in domestic kitchens are thought to be the cause of a significant amount of foodborne illness. In this study, the critical control points during food preparation were assessed via:"	"University College Dublin"	""	""	""	""	"Wall, Patrick"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Assessment-of-the-critical-control-points-during-d.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-2007"	"To determine the food hygiene indicators that can be used by customers to objectively judge hygiene standards in retail and food services"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/To-determine-the-food-hygiene-indicators-that-can.aspx"	"2007"	"2007"	"A safe food media campaign commenced in August/September 2007 aimed at promoting good food hygiene standards in food outlets and empowering customers to address any issues that they may find. Compliance with food safety standards is enforced by other agencies. However, from the perspective of the consumer, a need exists to develop a simple ""customer checklist"" that could be used by anyone purchasing food in food businesses. A key part of the checklist development process was a pilot programme of “mystery shopper” audits in a sample of 60 food operations across the island of Ireland with thirty locations in Northern Ireland and 30 locations in the Republic of Ireland. The pilot programme was conducted by experienced auditors with detailed knowledge of the food retail and service sectors."	"Excellence Ireland Quality Association"	""	"Dublin"	""	""	"Roper, Martin"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/To-determine-the-food-hygiene-indicators-that-can.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"00-RESR-102"	"Food safety knowledge, microbiology and refrigeration temperatures in domestic kitchens on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Food-safety-knowledge,-microbiology-and-refrigerat.aspx"	"2001"	"2004"	"This project involved a survey of the incidence of a range of significant food poisoning bacteria, including Salmonella spp., Campylobacter spp., Listeria monocytogenes . Aeromonas spp. and Escherichia coli O157:H7 in domestic refrigerators of households throughout the island of Ireland. It also incorporated a questionnaire survey to ascertain consumer food safety practices and knowledge. The survey found that certain food poisoning bacteria were common in domestic refrigerators including E. coli (6%), Listeria monocytogenes (6%) and Staphylococcus aureus (41%). The questionnaire revealed that 78% of survey respondents did not know that the correct operating temperature for their fridge should be between 1 and 5 o C. The findings of this project were used to enhance safe food communications to support advertising campaigns on fridge hygiene and the use of fridge thermometers."	"Teagasc Food Research Centre"	""	"Dublin"	""	""	"Bolton, Declan J."	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Food-safety-knowledge,-microbiology-and-refrigerat.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-PG-015"	"Food safety education: a cross-border, comparative study of food risk perception in post-primary schools and the development of a model for implementing effective curricular change"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Food-safety-education-a-cross-border,-comparative.aspx"	"2004"	"2007"	"Young people's food risk perceptions are of interest to educators, health promoters, food policy makers and the food industry because they will be the consumers of tomorrow. This project examined, qualitatively and quantitatively, how food risk perceptions in young people might differ from those of the ""stakeholders"" in order to identify information needs.The ultimate aim of the project was be to develop a model of food safety perceptions and information needs with a view to curricular change and management informed by a range of opinion, including young people themselves. "	"University of Ulster"	""	"Jordanstown"	""	""	"Strain, Michael"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Food-safety-education-a-cross-border,-comparative.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"02-RESR-03"	"Factors influencing the efficacy of food risk and dietary communications directed at young people"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Factors-influencing-the-efficacy-of-food-risk-and.aspx"	"2003"	"2005"	"Young people (13-16 year olds) are particularly important targets for achieving behavioural and attitudinal changes with regard to food hazards and nutrition as they are agents for change in their households as well as being the next generation of adult consumers. The objectives of this project were to assess the extent to which 13-16 year olds understand the nature and range of key food related hazards and to identify any significant gaps in their basic knowledge of these hazards. Relationships between perceptions, intentions and behaviour were investigated together with the key sources of influence on their perceptions of food risk. "	"Queen's University Belfast"	""	""	""	""	"Trew, Karen"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Factors-influencing-the-efficacy-of-food-risk-and.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"02-RESR-018"	"Novel strategies for food risk communication"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Novel-strategies-for-food-risk-communication.aspx"	"2003"	"2004"	"The principal aim of this project was to develop new strategies for food risk communication by conducting an in-depth analysis of consumer understanding of scientific messages related to a variety of food risk issues, examining the potential barriers to effective risk communication and assessing differences in understanding within and between the various demographic groups in our society. This project aimed specifically to target social need in terms of addressing the needs of vulnerable groups such as low-income sectors of the population. "	"University College Cork"	""	""	""	""	"McCarthy, Mary"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Novel-strategies-for-food-risk-communication.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"01-RESR-043"	"The development of a risk communication model based upon food safety behaviours in the home to facilitate adoption of best practice in disseminating information with a food risk component"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/The-development-of-a-risk-communication-model-base.aspx"	"2002"	"2004"	"The primary aim of this project was to map the factors influencing food safety behaviour in the home and thereby predict consumer responses to food risk communications. The project involved the production of a food diary by primary school children across the island of Ireland in order to collect descriptive accounts of ""normal"" food safety practices within the home environment. Subsequently, a novel multimedia approach was developed and used to assess the ability of consumers to recognise food risk, thereby indicating their likely behaviour in the home. The project resulted in production of a risk communication model and best practice guidelines for risk communication messages."	"Queen's University Belfast"	""	""	""	""	"McCleery, David"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/The-development-of-a-risk-communication-model-base.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"01-RESR-112"	"Assessment of the standards of food hygiene observed in household kitchens on the island of Ireland. The benefits of providing practical food hygiene instruction and practical food safety kits"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Assessment-of-the-standards-of-food-hygiene-observ.aspx"	"2001"	"2002"	"Poor food handling and hygiene practices in domestic kitchens are thought to be the cause of a significant number of cases of foodborne illness. However, there is insufficient information on how food is prepared in the home and the hygiene status of household kitchens. This pilot survey was commissioned by safe food in order to investigate the standards of hygiene observed in domestic kitchens across the island of Ireland and to obtain information about consumers’ knowledge of food safety issues. An extensive questionnaire was completed by 150 householders.The project also assessed the impact of providing the household with information and advice on the best ways to prepare, cook and store food. Participating households were visited twice, six to eight months apart, and the hygiene practices on each visit were qualitatively compared. Householders generally did not make a connection between food hygiene and illness. It was thought that domestic food-handling practices could be improved by providing basic scientific information and reference guides. "	"Dublin Institute of Technology"	""	""	""	""	"Brooker, Anna"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Assessment-of-the-standards-of-food-hygiene-observ.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-2014"	"Trust makers, breakers and brokers: building trust in the food system on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Trust-makers,-breakers-and-brokers-building-trust.aspx"	"2015"	"2016"	"Food scares and crises have both immediate and more long-term impacts on consumer perceptions and behaviour. A succession of crises can undermine consumer confidence and trust in the food industry and the regulators tasked with its oversight. This multi-method research seeks to provide an insight into how key stakeholders contribute to building, maintaining and rebuilding trust in the food system on the island of Ireland.Specifically the study aims to:"	"University College Cork"	""	""	""	""	"O'Reilly, Seamus"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Trust-makers,-breakers-and-brokers-building-trust.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-PG-022"	"Identification and characterisation of antibiotic resistance genes in poultry meat (GENECHASER)"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Identification-and-characterisation-of-antibiotic.aspx"	"2004"	"2004"	"This project used a bioinformatics approach to analyse published data relating to the occurrence of antibiotic resistance genes in poultry meat on the island of Ireland in order to identify the most commonly occurring antibiotic resistance genes. Primers were developed targeting specific resistance genes and a survey of poultry meat from producers and retailers on the island of Ireland were carried out. The information generated by this project provided sufficient preliminary information to support the development of an innovative DNA micro-array assay for detection of antibiotic resistance genes in poultry meat. "	"University of Ulster"	""	"Coleraine"	""	""	"Naughton, Patrick"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Identification-and-characterisation-of-antibiotic.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"01-RESR-105"	"Use of high pressure to improve safety and quality of shellfish"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Use-of-high-pressure-to-improve-safety-and-quality.aspx"	"2001"	"2004"	"The aim of this project was to study the potential for use of high pressure (HP) treatment by the seafood industry on the island of Ireland. The effect of HP treatment on inactivation of selected target indicator organisms (different strains and species of Escherichia coli and Listeria spp) and viruses in shellfish such as mussels and oysters was studied, and the impact of this process on the sensory quality and shelf-life of shellfish were assessed. Results of this project were disseminated to the seafood industry on the island of Ireland. "	"University College Cork"	""	""	""	""	"Kelly, Alan"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Use-of-high-pressure-to-improve-safety-and-quality.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
