"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_MORE_INFO"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"agency_index__aid"	"comment"
"SF6101"	"Evaluation of Risks of Violative Milk Residues Following Extra Label Topical Administration of Tetracycline for Digital Dermatitis in Dairy Cattle"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6101.htm"	"2013"	"2014"	"Results of the proposed project will enable veterinarians in the Ontario dairy industry to write appropriate prescriptions with knowledge of dose and withdrawal times that can avoid milk tetracycline residues that exceed allowable limits. The results of the study will benefit the dairy industry and supports the Canadian Quality Milk program. The outcomes will help ensure the safety of milk, while also enhancing consumer and trading partner confidence and supporting animal welfare."	"Tetracycline is a commonly used treatment of DD in dairy cattle; however, limited data are available regarding the risks of milk residues. Currently the maximum residue level (MRL) allowable for tetracycline in cow's milk in Canada is 100 parts per billion. The proposed study will evaluate the withdrawal time of milk tetracycline levels to the accepted MRL. Tetracycline will be applied topically in either a paste or in powdered form (under bandage wrap) at doses ranging from 2 grams to 25 grams to dairy cattle with severe DD. The project will also compare agreement of results among laboratory and commercial diagnostic test methods."	"University of Guelph"	"Johnson, Ron"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6101.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6103"	"Assessment and Mitigation of Contamination Risks: Critical Knowledge to Reduce Diseases and Increase Biosecurity Compliance"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6103.htm"	"2013"	"2015"	"This research will analyze the current set of requirements for the poultry industry and determine their value in terms of biosecurity. The results will look to inform what future measures will enable industry to reduce exposure to foodborne pathogens, Salmonella sp. for example, which may carry over into the human population. This research also aims to reduce the use of antimicrobials, which in turn should lead to a reduction in antimicrobial resistance. This will also be the first time that such scientific data will be obtained under normal Ontario poultry industry conditions, and will have a significant impact on training programs and future industry recommendations."	"Determine the level of contamination after biosecurity breaches at barn entrances and evaluation of sanitation procedures to mitigate them. Determine how pathogen loads are affected by current barn sanitation procedures recommended by the poultry industry."	"University of Montreal"	"Vaillancourt, Jean-Pierre"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6103.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6097"	"Spatial Distribution of Ochratoxin A Contamination in Stored Winter Wheat Grain"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6097.htm"	"2013"	"2014"	"The federal government is proposing guidelines regarding the current limit of detection for Ochratoxin A (OTA), a mycotoxin classified as a possible human carcinogen. This study of the spatial distribution of OTA at micro level in on-farm stored grain will provide much needed information on the heterogeneous nature of the contamination. The results will allow for the development of reliable detection and sampling strategies by reducing sample variance and improving the safety of the stored grains."	"Study the spatial distribution of OTA at micro level (sample size of several kernels) in 6000 cc. area surrounding a hot spot induced by P. verrucosum inoculation where active P. verrucosum mycelium is being observed under standard grain bin storage conditions. Study distribution of OTA during grain unloading from storage bins containing an induced hot spot located at the highest risk position in the storage bin (top centre of the pile) with the objective of determining how much grain needs to be moved to clear out the contamination."	"University of Guelph"	"Schaafsma, Art"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6097.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6098"	"Applying a Multi-Criteria Risk Prioritization Framework to Food Safety Hazards in Canada"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6098.htm"	"2013"	"2015"	"This project will foster the development of a more comprehensive and more specific risk management tool for food safety managers. This tool will start with a foundation of food safety risks, and include those components found to be most relevant and useful for making decisions. These decisions can include categories such as economic impact, consumer perceptions and social sensitivity, thus addressing gaps in the current framework."	"The project will refine and validate a multi-criteria decision analysis framework for establishing food safety priorities on the basis of a number of public health and socio-economic factors. The project takes as a starting point the multi-factorial risk framework that has been developed by the project team and refines the economic impact, public risk perception and social sensitivity factors. These refinements will incorporate experience gained in presenting the framework to risk managers in Canada and the US and will ensure compatibility with the FDA iRisk tool for assessing public health impacts for food-hazard pairs. The modified framework will be tested and validated through a trial involving potential end users. A user guide will be developed to enable food safety managers in OMAF and MRA, CFIA and PHAC to employ the framework to compare food safety issues and to develop effective management strategies."	"University of Guelph"	"Henson, Spencer"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6098.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6099"	"The Potential Risk Posed by Waterfowl for the Introduction of Foodborne Pathogens to Agricultural Environments"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6099.htm"	"2013"	"2015"	"The examination of foodborne pathogens carried by waterfowl will allow for the identification of potential threats to biosecurity and food-safety for agricultural animals and people in Ontario. Waterfowl may have an important role in the introduction and dissemination of these bacteria among farms and regions. Identifying the potential role of these birds in the transmission of antimicrobial-resistant organisms and Salmonella will have important impacts on risk assessments and foodborne disease control programs."	"This project focuses on identifying the potential risk posed by waterfowl for the introduction and dissemination of antimicrobial-resistant organisms and Salmonella to agricultural systems in Ontario. Specifically, it will accomplish the following objectives:"	"University of Guelph"	"Pearl, David"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6099.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6100"	"Imaging Cytometry for Detection and Viability Determination of Protozoan Parasites on Fresh Retail Produce and Environmental Samples in Ontario"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6100.htm"	"2013"	"2015"	"Imaging cytometry may be a very effective technology for the detection and quantification of enteric protozoan parasites in fresh produce, as well as in environmental samples as possible sources of contamination. This improvement in detection will be of benefit to food testing laboratories, and could result in an improvement in parasite surveillance and outbreak investigations leading to fewer foodborne illnesses in Ontario. Imaging cytometry also provides a vast improvement over traditional microscopical means in the determination of parasite viability (infectivity), which has not previously been considered in surveillance studies, and is of considerable importance in risk assessments and risk management."	"The main objectives of this project are to develop and validate a high-throughput method for the rapid detection of Cryptosporidium, Cyclospora, Toxoplasma and Giardia in a variety of food and environmental matrices using imaging cytometry, and to compare the sensitivity, specificity, and speed of this method to microscopy and PCR (Polymerase Chain Reaction) methods which are often used in surveillance studies and outbreak investigations. The effectiveness and accuracy of the method in providing quantitative results for parasites in foods and environmental samples will be evaluated. The accuracy of the method in determining the viability of these parasites will also be evaluated against existing viability assays including microscopy using vital dyes and excystation. Finally, the optimized method will be used in a surveillance study of fresh produce purchased at retail in Ontario, as well as in testing of farm-level environmental samples, including surface waters and livestock manure, as possible sources of contamination of foods."	"Health Canada"	"Dixon, Brent"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6100.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6102"	"Validation of the Dry Fermented Sausage (Salami) Production Process for Control of Non-O157 Shiga Toxin-Producing Escherichia Coli (STEC)"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6102.htm"	"2013"	"2015"	"This study will generate knowledge concerning the effect of dry fermented sausage production on the fate of non-O157 STEC strains by providing validation data for use by meat processors and also assist OMAF and MRA to make recommendations to improve safety of dry fermented meat products. The beneficiaries of the study include Ontario meat processors, OMAF and MRA policy makers, Health Canada, CFIA and consumers."	"Validate the effect of dry fermented sausage production that utilizes fermentation followed by dry curing on the fate of non-O157 STEC strains; Compare the survival of non-O157 STEC with E. coli O157:H7 during dry fermented sausage production; Compare the relative tolerance of non-O157 STEC strains with E. coli O157:H7 to acidity and water activity (aw) changes during fermentation and dry curing of sausages."	"AAFC Guelph Food Research Centre"	"Balamurugan, S."	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2012/sf6102.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6093"	"Subunit vaccines directed against Salmonella Enteritidis in poultry"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2011/sf6093.htm"	""	""	"The development, production and application of the proposed vaccines will be beneficial for the complete poultry industry and will contribute to increased food safety and improved public health in Canada. Additionally, these vaccines may be critically important to the Canadian poultry industry as the Canadian Food Inspection Agency moves towards implementing standards in processing plants that are consistent with requirements in the USA."	"To produce and purify two newly identified antigens (components exposed on the surface of Salmonella Enteritidis) To formulate subunit vaccines containing those antigens (see objective 1.) together with two antigens previously investigated by our group. To immunize eggs (in-ovo vaccine delivery) and chicks (subcutaneous at day of hatch) with the aim to demonstrate immunogenicity and efficacy of both vaccination regimes. Proof of principle trial: experimental challenge of vaccinated eggs/birds using a seeder model of infection which simulates natural infection."	"University of Saskatchewan"	"Koester, Wolfgang"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2011/sf6093.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6091"	"Development of the basis for an automated site of delivery test for all mycotoxins in grain."	"http://www.omafra.gov.on.ca//english/research/foodsafety/2011/sf6091.htm"	""	""	"A quality assurance program that is based on objective evaluation of actual toxin levels at the site of grain delivery will deliver greater cost-effectiveness and safety than testing based on analysis of larger blended samples of grain. For such a system to be commercially acceptable it needs to be capable of detecting the presence of multiple mycotoxins simultaneously. This project is targeted at moving the aptamers that NeoVentures has identified to date for ochratoxin A, aflatoxins, fumonisin, deoxynivalenol and zearalerone into detection formats suitable for incorporation into automated detection devices."	"To create a multi-target mycotoxin purification system: NeoVentures has developed the technology necessary to routinely immobilize aptamers for affinity column based purification of mycotoxins. This objective is focused on demonstrating that multiple aptamers can be combined within a single column. To develop aptamer/mycotoxin detection systems: For ochratoxin A, a detection system based on terbium binding has been commercialized. For the remaining four aptamer/ mycotoxin relationships rapid and sensitive detection systems must be established. To validate performance of each aptamer for each mycotoxin: Validation of the multiple target systems will be performed through the use of existing reference methods, primarily based on HPLC analysis of the mycotoxins from naturally contaminated material."	"NeoVentures Biotechnology Inc."	"Penner, Gregory"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2011/sf6091.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6092"	"Swine Xenobiotics: Detection and withdrawal times"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2011/sf6092.htm"	""	""	"Information confirming exposure and tissue depletion (withdrawal times) of bromadiolone in suspected swine toxicities will provide substantial guidance to veterinarians and producers regarding the need for animal disposal and accompanying financial losses, as well as enhanced consumer food safety."	"To validate a non-invasive, detection system using whole blood and fresh fecal samples to confirm exposure of swine to bromadiolone rodenticides. To examine the depletion of whole blood and fecal residue levels over time with those of muscle (loin), skin and adhering fat, and liver bromadiolone concentrations following oral exposure, in order to establish a relationship between tissues. This will enable estimations of residue withdrawal times using whole blood and feces samples based on current AHL validated limits of analytical quantification (limit of detection) of liver bromadiolone levels (0.5 mg/kg or 5 ppm). The liver is the organ of accumulation of rodenticides in swine. We will also follow coagulation profile abnormalities by measuring prothrombin time (PT) and partial thromboplastin time (PTT) in all animals following dosing."	"University of Guelph"	"Johnson, Ron"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2011/sf6092.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
