"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"agency_index__aid"	"investigator_data__INSTITUTION"
"RES-229-25-0012"	"Reducing E coli Risk in Rural Communities"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-25-0012"	"2007"	"2010"	"E. coli is a very serious threat to human health. It can be devastating and sometimes fatal, and children and elderly people are at particular risk. We still know little about how it is spread in rural environments. Researchers from a wide range of natural and social science disciplines investigate how we can reduce the risk of people becoming infected."	"University of Aberdeen"	"Strachan, Norval"	"-1"	"-1"	"87"	"-1"
"RES-229-25-0013"	"Assessing the Potential Rural Impact of Plant Disease"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-25-0013"	"2007"	"2011"	"UK crop production is vulnerable to a plethora of pathogens, some of which directly affect crop yields, disrupt the food chain and impact on land use and social infrastructure. Similarly, diseases can have profound effects on the plants in our natural environment. An appraisal of the potential impacts of plant diseases on land use and the UK rural economy is being developed."	"Harper Adams University College"	"Mills, Peter"	"-1"	"-1"	"87"	"-1"
"RES-229-25-0016"	"The Governance of Livestock Disease"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-25-0016"	"2007"	"2010"	"Nobody wants to see animals suffering. As well as concerns about their welfare, we know that sick animals produce less meat and milk, and provide less profit. Animal disease can also seriously affect consumer demand at home and abroad, with an effect on the economy. A range of issues around several different cattle diseases are considered, how policy on one disease affects others and how different organisational levels interact and result in the levels of disease we have."	"University of Warwick"	"Medley, Graham"	"-1"	"-1"	"87"	"-1"
"RES-229-25-0015"	"Assessment of Knowledge Sources in Animal Disease Control"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-25-0015"	"2008"	"2011"	"Containment is a controversial issue in animal disease outbreaks. Strategies often come under the spotlight, particularly when human health may be at risk or when animal and farm welfare issues are promoted in the media. This project is building more integrated strategies of containment by bringing together expertise in public health, sociology, microbiology, epidemiology and veterinary science, environmental science, human geography and medical statistics."	"Lancaster University"	"Wynne, Brian"	"-1"	"-1"	"87"	"-1"
"RES-229-25-0015"	"Assessment of Knowledge Sources in Animal Disease Control"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-25-0015"	"2008"	"2011"	"Containment is a controversial issue in animal disease outbreaks. Strategies often come under the spotlight, particularly when human health may be at risk or when animal and farm welfare issues are promoted in the media. This project is building more integrated strategies of containment by bringing together expertise in public health, sociology, microbiology, epidemiology and veterinary science, environmental science, human geography and medical statistics."	"Lancaster University"	"Heathwaite, Louise"	"-1"	"-1"	"87"	"-1"
"RES-229-25-0005"	"Lessons from Dutch Elm Disease in Assessing the Threat from Sudden Oak Death"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-25-0005"	"2007"	"2010"	"During the 1970s, Dutch elm disease ravaged familiar landscapes in the UK. Now a different disease - sudden oak death - could create a similar situation. Researchers explore how the previous pandemic can help us deal with this more recent threat; how people perceived Dutch elm disease and its effects; and what they think might be done to combat sudden oak death."	"Imperial College London"	"Potter, Clive"	"-1"	"-1"	"87"	"-1"
"RES-229-25-0007"	"Assessing and Communicating Animal Disease Risks for Countryside Users"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-25-0007"	"2007"	"2010"	"Many people enjoy spending leisure time outdoors, but with changes in environmental conditions and use of the countryside, some risks, such as tick-borne diseases, could become more acute. The risks, what can be done to reduce them and the kinds of information that people need to keep themselves safe, without being inappropriately alarmed, are examined."	"Forest Research"	"Quine, Chris"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0090"	"Managing Food Chain Risks"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0090"	"2005"	"2008"	"During crises such as BSE, E coli and foot and mouth disease there is often a narrow, technical response to the problem. This project incorporates the thinking and values of stakeholders into the scientific modelling of food chain risks, focusing on three contrasting case studies: pesticide residues in fruit crops, campylobacter in chickens and a mock crisis scenario. Producers, non-governmental organisations, regulators, risk managers and members of the public have been involved in defining the problem, discussing their understanding of risk and suggesting how it might be communicated most effectively."	"University of Surrey"	"Shepherd, Richard"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0093"	"Overcoming Market and Technical Obstacles to Alternative Pest Management in Arable Systems"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0093"	"2005"	"2009"	"Chemical pesticides have often been blamed for a range of environmental and human health issues. This research looks at alternatives to the use of insecticides in arable agriculture and the difficulties facing producers in switching over to them. Two approaches are explored: habitat manipulations, to encourage predators and parasites, and using naturally occurring odours to manipulate predator distribution as model technologies. Aim is to improve the way research and development of new products and techniques are carried out to help break the dependence on chemical pesticides."	"University of Kent"	"Bailey, Alistair"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0048"	"The Role of Regulation in Developing Biological Alternatives to Pesticides"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0048"	"2004"	"2007"	"Although chemical pesticides have often attracted controversy, viable biological alternatives have been slow to come onto the market. Is this because the regulatory system makes it too difficult? Explore the data on the environmental sustainability of insect pathogenic fungi and how the regulatory system could better enable the development and marketing of this and other types of bio pesticide."	"University of Warwick"	"Grant, Wyn"	"-1"	"-1"	"87"	"-1"
"RES-229-27-0001"	"Re-inventing the wheel? Farm health"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-229-27-0001"	"2007"	"2010"	"By exploring the history of animal disease prevention from 1942 onwards, in its economic, social, political and policy contexts, and relating this to current policy discussions and the present-day science and practice of farm health planning; an understanding of these past initiatives and circumstances that gave rise to initiatives (science, social and political factors that have influenced the way we react to outbreaks of animal disease) should help us to avoid “reinventing the wheel”."	"Imperial College London"	"Woods, Abigail"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0048"	"The Role of Regulation in Developing Biological Alternatives to Pesticides"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0048"	"2004"	"2007"	"Although chemical pesticides have often attracted controversy, viable biological alternatives have been slow to come onto the market. Is this because the regulatory system makes it too difficult? Explore the data on the environmental sustainability of insect pathogenic fungi and how the regulatory system could better enable the development and marketing of this and other types of bio pesticide."	"University of Warwick"	"Grant, Wyn"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0044"	""	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0044"	"2004"	"2008"	"What are the advantages and disadvantages of consuming locally produced fruit and vegetables versus those produced overseas? This project considers greenhouse gas emissions, local employment, consumer perceptions, nutritional quality and local food cultures."	"University of Wales"	"Edwards-Jones, Gareth"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0044"	"Comparative Merits of Consuming Vegetables Produced Locally and Overseas"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0044"	"2004"	"2008"	"What are the advantages and disadvantages of consuming locally produced fruit and vegetables versus those produced overseas? This project considers greenhouse gas emissions, local employment, consumer perceptions, nutritional quality and local food cultures."	"University of Wales"	"Edwards-Jones, Gareth"	"-1"	"-1"	"87"	"-1"
